ProducerNumber,PremiumYear,PremiumMonth,ProductType,ProducerPriorExperienceYears,ProducerEducation,ProducerLOSMonths,ProducerAgeYears,ProducerRace,ProducerGender,ProducerMaritalStatus,ProducerRole,ProducerState,PolicyIssueState,PaymentFrequency,PolicyHolderAgeAtIssueYears,PolicyHolderGender,SalesOfficeAtIssue,SalesTerritory,PaymentYear,PaymentModeAtIssue,WrittenPremium,PolicyAnnualFee, CommissionAmount ,PerformanceCredit,CommissionablePremium
AGT416,2020,DEC,TERM LIFE,2,GRADUATE,19,18,WHITE,M,DIVORCED,ROLE2,MS,ID,MONTHLY,25,M,OFC71,T1,1,SPECIAL DIRECT PAY,3590.6,75,3304.66,3304.66,3515.6
AGT416,2020,DEC,OTHER LIFE,2,GRADUATE,19,18,WHITE,M,DIVORCED,ROLE2,MS,IN,MISC,2,U,OFC71,T1,1,SPECIAL DIRECT PAY,2039.4,75,157.15,157.15,1964.4
AGT416,2021,JAN,TERM LIFE,2,GRADUATE,20,19,WHITE,M,DIVORCED,ROLE2,MS,ID,MONTHLY,25,M,OFC71,T1,1,SPECIAL DIRECT PAY,3590.6,75,3304.66,3304.66,3515.6
AGT416,2021,JAN,OTHER LIFE,2,GRADUATE,20,19,WHITE,M,DIVORCED,ROLE2,MS,IN,MISC,2,U,OFC71,T1,1,SPECIAL DIRECT PAY,2039.4,75,157.15,157.15,1964.4
AGT416,2021,FEB,TERM LIFE,2,GRADUATE,21,19,WHITE,M,DIVORCED,ROLE2,MS,ID,MONTHLY,25,M,OFC71,T1,1,SPECIAL DIRECT PAY,3590.6,75,3304.66,3304.66,3515.6
AGT416,2021,FEB,OTHER LIFE,2,GRADUATE,21,19,WHITE,M,DIVORCED,ROLE2,MS,IN,MISC,2,U,OFC71,T1,1,SPECIAL DIRECT PAY,2039.4,75,157.15,157.15,1964.4
AGT416,2021,MAR,TERM LIFE,2,GRADUATE,22,19,WHITE,M,DIVORCED,ROLE2,MS,ID,MONTHLY,25,M,OFC71,T1,1,SPECIAL DIRECT PAY,3590.6,75,3304.66,3304.66,3515.6
AGT416,2021,MAR,OTHER LIFE,2,GRADUATE,22,19,WHITE,M,DIVORCED,ROLE2,MS,IN,MISC,2,U,OFC71,T1,1,SPECIAL DIRECT PAY,2039.4,75,157.15,157.15,1964.4
AGT417,2020,OCT,WHOLE LIFE,1,HIGH SCHOOL,0,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2020,OCT,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,0,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2020,NOV,WHOLE LIFE,1,HIGH SCHOOL,1,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2020,NOV,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,1,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2020,DEC,WHOLE LIFE,1,HIGH SCHOOL,2,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2020,DEC,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,2,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2021,JAN,WHOLE LIFE,1,HIGH SCHOOL,3,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2021,JAN,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,3,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2021,FEB,WHOLE LIFE,1,HIGH SCHOOL,4,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2021,FEB,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,4,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT417,2021,MAR,WHOLE LIFE,1,HIGH SCHOOL,5,29,HISPANIC,F,MARRIED,ROLE4,NC,CO,MONTHLY,66,M,OFC77,T4,1,PAID UP,5318.02,100,3861.33,1930.67,5218.02
AGT417,2021,MAR,FIXED PREMIUM ANNUITY,1,HIGH SCHOOL,5,29,HISPANIC,F,MARRIED,ROLE4,NC,WV,MONTHLY,32,M,OFC77,T4,1,PAID UP,4931.13,75,1214.03,631.3,4856.13
AGT418,2020,OCT,WHOLE LIFE,0,GRADUATE,13,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2020,OCT,VARIABLE PREMIUM ANNUITY,0,GRADUATE,13,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2020,NOV,WHOLE LIFE,0,GRADUATE,14,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2020,NOV,VARIABLE PREMIUM ANNUITY,0,GRADUATE,14,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2020,DEC,WHOLE LIFE,0,GRADUATE,15,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2020,DEC,VARIABLE PREMIUM ANNUITY,0,GRADUATE,15,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2021,JAN,WHOLE LIFE,0,GRADUATE,16,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
AGT418,2021,JAN,VARIABLE PREMIUM ANNUITY,0,GRADUATE,16,23,HISPANIC,M,WIDOWED,ROLE2,HI,MI,ANNUAL,20,U,OFC29,T3,1,REGULAR DIRECT PAY,2967.69,75,1012.44,1012.44,2892.69
AGT418,2021,FEB,WHOLE LIFE,0,GRADUATE,17,23,HISPANIC,M,WIDOWED,ROLE2,HI,KY,ANNUAL,24,F,OFC29,T3,1,PAYMENT ADVANCE,6224.5,100,2694.78,1347.39,6124.5
